ZIP5,CBSA CODE,CBSA LSAD
67278,48620,Metropolitan Statistical Area
67301,17700,Micropolitan Statistical Area
67330,37660,Micropolitan Statistical Area
67332,37660,Micropolitan Statistical Area
67333,17700,Micropolitan Statistical Area
67333,37660,Micropolitan Statistical Area
67334,,
67335,17700,Micropolitan Statistical Area
67335,37660,Micropolitan Statistical Area
67335,,
67336,37660,Micropolitan Statistical Area
67336,,
67337,17700,Micropolitan Statistical Area
67337,37660,Micropolitan Statistical Area
67340,17700,Micropolitan Statistical Area
67341,37660,Micropolitan Statistical Area
67342,37660,Micropolitan Statistical Area
67344,17700,Micropolitan Statistical Area
67344,,
67345,,
67346,,
67347,17700,Micropolitan Statistical Area
67347,,
67349,,
67351,17700,Micropolitan Statistical Area
67351,37660,Micropolitan Statistical Area
67352,,
67353,,
67354,37660,Micropolitan Statistical Area
67355,,
67356,37660,Micropolitan Statistical Area
67356,,
67357,37660,Micropolitan Statistical Area
67357,,
67360,,
67361,,
67363,17700,Micropolitan Statistical Area
67364,17700,Micropolitan Statistical Area
77611,13140,Metropolitan Statistical Area
77612,,
77613,13140,Metropolitan Statistical Area
77614,,
77615,,
77616,,
77617,26420,Metropolitan Statistical Area
77619,13140,Metropolitan Statistical Area
77622,13140,Metropolitan Statistical Area
77622,26420,Metropolitan Statistical Area
77623,26420,Metropolitan Statistical Area
77624,,
77625,13140,Metropolitan Statistical Area
77626,13140,Metropolitan Statistical Area
77627,13140,Metropolitan Statistical Area
77629,13140,Metropolitan Statistical Area
77630,13140,Metropolitan Statistical Area
77631,13140,Metropolitan Statistical Area
77632,13140,Metropolitan Statistical Area
77632,,
77639,13140,Metropolitan Statistical Area
77640,13140,Metropolitan Statistical Area
77641,13140,Metropolitan Statistical Area
77642,13140,Metropolitan Statistical Area
77643,13140,Metropolitan Statistical Area
77650,26420,Metropolitan Statistical Area
77651,13140,Metropolitan Statistical Area
77655,13140,Metropolitan Statistical Area
77656,13140,Metropolitan Statistical Area
77656,,
77656,26420,Metropolitan Statistical Area
77657,13140,Metropolitan Statistical Area
77659,13140,Metropolitan Statistical Area
77660,,
77660,13140,Metropolitan Statistical Area
77661,26420,Metropolitan Statistical Area
77662,13140,Metropolitan Statistical Area
77662,,
77663,13140,Metropolitan Statistical Area
77664,,
77664,13140,Metropolitan Statistical Area
77665,26420,Metropolitan Statistical Area
77665,13140,Metropolitan Statistical Area
77670,13140,Metropolitan Statistical Area
77701,13140,Metropolitan Statistical Area
77702,13140,Metropolitan Statistical Area
77703,13140,Metropolitan Statistical Area
77704,13140,Metropolitan Statistical Area
77705,13140,Metropolitan Statistical Area
77706,13140,Metropolitan Statistical Area
77707,13140,Metropolitan Statistical Area
77708,13140,Metropolitan Statistical Area
77709,13140,Metropolitan Statistical Area
77710,13140,Metropolitan Statistical Area
77713,13140,Metropolitan Statistical Area
77720,13140,Metropolitan Statistical Area
77725,13140,Metropolitan Statistical Area
77726,13140,Metropolitan Statistical Area
88001,29740,Metropolitan Statistical Area
88001,10460,Micropolitan Statistical Area
88002,29740,Metropolitan Statistical Area
88003,29740,Metropolitan Statistical Area
88004,29740,Metropolitan Statistical Area
88005,29740,Metropolitan Statistical Area
88006,29740,Metropolitan Statistical Area
88007,29740,Metropolitan Statistical Area
88008,29740,Metropolitan Statistical Area
88009,,
88011,29740,Metropolitan Statistical Area
88012,29740,Metropolitan Statistical Area
88013,29740,Metropolitan Statistical Area
88020,,
88021,29740,Metropolitan Statistical Area
88022,43500,Micropolitan Statistical Area
88023,43500,Micropolitan Statistical Area
88024,29740,Metropolitan Statistical Area
88025,43500,Micropolitan Statistical Area
88026,43500,Micropolitan Statistical Area
88027,29740,Metropolitan Statistical Area
88028,43500,Micropolitan Statistical Area
88029,19700,Micropolitan Statistical Area
88030,19700,Micropolitan Statistical Area
88031,19700,Micropolitan Statistical Area
88032,29740,Metropolitan Statistical Area
88033,29740,Metropolitan Statistical Area
88034,43500,Micropolitan Statistical Area
88036,43500,Micropolitan Statistical Area
88038,43500,Micropolitan Statistical Area
88039,,
88040,43500,Micropolitan Statistical Area
88041,43500,Micropolitan Statistical Area
88042,,
88043,43500,Micropolitan Statistical Area
88044,29740,Metropolitan Statistical Area
88045,,
88045,43500,Micropolitan Statistical Area
88046,29740,Metropolitan Statistical Area
88047,29740,Metropolitan Statistical Area
88048,29740,Metropolitan Statistical Area
88049,43500,Micropolitan Statistical Area
88051,43500,Micropolitan Statistical Area
88052,29740,Metropolitan Statistical Area
88053,43500,Micropolitan Statistical Area
88054,29740,Metropolitan Statistical Area
88055,43500,Micropolitan Statistical Area
88056,,
88058,29740,Metropolitan Statistical Area
88061,43500,Micropolitan Statistical Area
88062,43500,Micropolitan Statistical Area
88063,29740,Metropolitan Statistical Area
88065,43500,Micropolitan Statistical Area
88072,29740,Metropolitan Statistical Area
88081,29740,Metropolitan Statistical Area
88081,10460,Micropolitan Statistical Area
88101,17580,Micropolitan Statistical Area
88101,38780,Micropolitan Statistical Area
88102,17580,Micropolitan Statistical Area
88103,17580,Micropolitan Statistical Area
88112,,
88112,17580,Micropolitan Statistical Area
88113,38780,Micropolitan Statistical Area
88114,26020,Micropolitan Statistical Area
88115,38780,Micropolitan Statistical Area
88116,38780,Micropolitan Statistical Area
88116,40740,Micropolitan Statistical Area
88118,38780,Micropolitan Statistical Area
88118,17580,Micropolitan Statistical Area
88119,,
88120,17580,Micropolitan Statistical Area
88120,,
88121,,
88122,38780,Micropolitan Statistical Area
88123,38780,Micropolitan Statistical Area
88124,17580,Micropolitan Statistical Area
88124,38780,Micropolitan Statistical Area
88124,,
88125,38780,Micropolitan Statistical Area
88126,38780,Micropolitan Statistical Area
88130,38780,Micropolitan Statistical Area
88132,38780,Micropolitan Statistical Area
88133,17580,Micropolitan Statistical Area
88134,,
88134,38780,Micropolitan Statistical Area
88135,17580,Micropolitan Statistical Area
88136,,
98401,42660,Metropolitan Statistical Area
98402,42660,Metropolitan Statistical Area
98403,42660,Metropolitan Statistical Area
98404,42660,Metropolitan Statistical Area
98405,42660,Metropolitan Statistical Area
98406,42660,Metropolitan Statistical Area
98407,42660,Metropolitan Statistical Area
98408,42660,Metropolitan Statistical Area
98409,42660,Metropolitan Statistical Area
98411,42660,Metropolitan Statistical Area
98412,42660,Metropolitan Statistical Area
98413,42660,Metropolitan Statistical Area
98415,42660,Metropolitan Statistical Area
98416,42660,Metropolitan Statistical Area
98417,42660,Metropolitan Statistical Area
98418,42660,Metropolitan Statistical Area
98419,42660,Metropolitan Statistical Area
98421,42660,Metropolitan Statistical Area
98422,42660,Metropolitan Statistical Area
98424,42660,Metropolitan Statistical Area
98430,42660,Metropolitan Statistical Area
98431,42660,Metropolitan Statistical Area
98433,42660,Metropolitan Statistical Area
98438,42660,Metropolitan Statistical Area
98439,42660,Metropolitan Statistical Area
98442,42660,Metropolitan Statistical Area
98443,42660,Metropolitan Statistical Area
98444,42660,Metropolitan Statistical Area
98445,42660,Metropolitan Statistical Area
98446,42660,Metropolitan Statistical Area
98447,42660,Metropolitan Statistical Area
98448,42660,Metropolitan Statistical Area
98464,42660,Metropolitan Statistical Area
98465,42660,Metropolitan Statistical Area
98466,42660,Metropolitan Statistical Area
98467,42660,Metropolitan Statistical Area
98471,42660,Metropolitan Statistical Area
98477,42660,Metropolitan Statistical Area
98481,42660,Metropolitan Statistical Area
98490,42660,Metropolitan Statistical Area
98492,42660,Metropolitan Statistical Area
98493,42660,Metropolitan Statistical Area
98496,42660,Metropolitan Statistical Area
98497,42660,Metropolitan Statistical Area
98498,42660,Metropolitan Statistical Area
98499,42660,Metropolitan Statistical Area
98501,36500,Metropolitan Statistical Area
98502,36500,Metropolitan Statistical Area
98502,43220,Micropolitan Statistical Area
98503,36500,Metropolitan Statistical Area
98504,36500,Metropolitan Statistical Area
98505,36500,Metropolitan Statistical Area
98506,36500,Metropolitan Statistical Area
98507,36500,Metropolitan Statistical Area
98508,36500,Metropolitan Statistical Area
98509,36500,Metropolitan Statistical Area
98511,36500,Metropolitan Statistical Area
98512,36500,Metropolitan Statistical Area
98513,36500,Metropolitan Statistical Area
98516,36500,Metropolitan Statistical Area
98520,10140,Micropolitan Statistical Area
98522,16500,Micropolitan Statistical Area
98524,43220,Micropolitan Statistical Area
98526,10140,Micropolitan Statistical Area
98527,,
98528,43220,Micropolitan Statistical Area
98528,42660,Metropolitan Statistical Area
98530,36500,Metropolitan Statistical Area
98531,16500,Micropolitan Statistical Area
98531,36500,Metropolitan Statistical Area
98532,16500,Micropolitan Statistical Area
98533,16500,Micropolitan Statistical Area
98535,10140,Micropolitan Statistical Area
98536,10140,Micropolitan Statistical Area
98537,10140,Micropolitan Statistical Area
98537,,
98538,16500,Micropolitan Statistical Area
98539,16500,Micropolitan Statistical Area
98540,36500,Metropolitan Statistical Area
98541,10140,Micropolitan Statistical Area
98541,43220,Micropolitan Statistical Area
98542,16500,Micropolitan Statistical Area
98544,16500,Micropolitan Statistical Area
98546,43220,Micropolitan Statistical Area
98547,10140,Micropolitan Statistical Area
98547,,
98548,43220,Micropolitan Statistical Area
98550,10140,Micropolitan Statistical Area
98552,10140,Micropolitan Statistical Area
98554,,
98555,43220,Micropolitan Statistical Area
98556,36500,Metropolitan Statistical Area
98557,10140,Micropolitan Statistical Area
98558,42660,Metropolitan Statistical Area
98559,10140,Micropolitan Statistical Area
98560,43220,Micropolitan Statistical Area
98561,,
98562,10140,Micropolitan Statistical Area
98563,10140,Micropolitan Statistical Area
98564,16500,Micropolitan Statistical Area
98565,16500,Micropolitan Statistical Area
98566,10140,Micropolitan Statistical Area
98568,10140,Micropolitan Statistical Area
98568,36500,Metropolitan Statistical Area
98568,16500,Micropolitan Statistical Area
98569,10140,Micropolitan Statistical Area
98570,16500,Micropolitan Statistical Area
98571,10140,Micropolitan Statistical Area
98572,16500,Micropolitan Statistical Area
98572,,
98575,10140,Micropolitan Statistical Area
98576,36500,Metropolitan Statistical Area
98577,,
98579,36500,Metropolitan Statistical Area
98579,16500,Micropolitan Statistical Area
98580,42660,Metropolitan Statistical Area
98581,31020,Metropolitan Statistical Area
